Freq.	V(vout)
1.10917481526240e+04	(-2.32275080238875e-02dB,-8.11388619400324e+01°)
1.11173172728159e+04	(-2.33147135706069e-02dB,-8.13279298765810e+01°)
1.11429453359173e+04	(-2.34019445279428e-02dB,-8.15174479484902e+01°)
1.11686324778056e+04	(-2.34891959334662e-02dB,-8.17074173090862e+01°)
1.11943788346715e+04	(-2.35764627533264e-02dB,-8.18978391154968e+01°)
1.12201845430196e+04	(-2.36637398817849e-02dB,-8.20887145286729e+01°)
1.12460497396692e+04	(-2.37510221406743e-02dB,-8.22800447134105e+01°)
1.12719745617551e+04	(-2.38383042788939e-02dB,-8.24718308383729e+01°)
1.12979591467279e+04	(-2.39255809719295e-02dB,-8.26640740761131e+01°)
1.13240036323555e+04	(-2.40128468213024e-02dB,-8.28567756030962e+01°)
1.13501081567231e+04	(-2.41000963542065e-02dB,-8.30499365997222e+01°)
1.13762728582343e+04	(-2.41873240227869e-02dB,-8.32435582503493e+01°)
1.14024978756117e+04	(-2.42745242039134e-02dB,-8.34376417433167e+01°)
1.14287833478977e+04	(-2.43616911984794e-02dB,-8.36321882709682e+01°)
1.14551294144553e+04	(-2.44488192311370e-02dB,-8.38271990296754e+01°)
1.14815362149688e+04	(-2.45359024495628e-02dB,-8.40226752198624e+01°)
1.15080038894443e+04	(-2.46229349242642e-02dB,-8.42186180460285e+01°)
1.15345325782109e+04	(-2.47099106479024e-02dB,-8.44150287167738e+01°)
1.15611224219210e+04	(-2.47968235349490e-02dB,-8.46119084448228e+01°)
1.15877735615512e+04	(-2.48836674212386e-02dB,-8.48092584470494e+01°)
1.16144861384034e+04	(-2.49704360634621e-02dB,-8.50070799445015e+01°)
1.16412602941049e+04	(-2.50571231387126e-02dB,-8.52053741624266e+01°)
1.16680961706096e+04	(-2.51437222442555e-02dB,-8.54041423302968e+01°)
1.16949939101987e+04	(-2.52302268967511e-02dB,-8.56033856818342e+01°)
1.17219536554813e+04	(-2.53166305321518e-02dB,-8.58031054550375e+01°)
1.17489755493953e+04	(-2.54029265051638e-02dB,-8.60033028922070e+01°)
1.17760597352080e+04	(-2.54891080888127e-02dB,-8.62039792399716e+01°)
1.18032063565173e+04	(-2.55751684741210e-02dB,-8.64051357493147e+01°)
1.18304155572516e+04	(-2.56611007696661e-02dB,-8.66067736756017e+01°)
1.18576874816716e+04	(-2.57468980012450e-02dB,-8.68088942786065e+01°)
1.18850222743701e+04	(-2.58325531114413e-02dB,-8.70114988225383e+01°)
1.19124200802737e+04	(-2.59180589593534e-02dB,-8.72145885760701e+01°)
1.19398810446427e+04	(-2.60034083201568e-02dB,-8.74181648123652e+01°)
1.19674053130724e+04	(-2.60885938848174e-02dB,-8.76222288091063e+01°)
1.19949930314937e+04	(-2.61736082597265e-02dB,-8.78267818485227e+01°)
1.20226443461741e+04	(-2.62584439663873e-02dB,-8.80318252174193e+01°)
1.20503594037179e+04	(-2.63430934411028e-02dB,-8.82373602072051e+01°)
1.20781383510678e+04	(-2.64275490347313e-02dB,-8.84433881139222e+01°)
1.21059813355048e+04	(-2.65118030122511e-02dB,-8.86499102382747e+01°)
1.21338885046497e+04	(-2.65958475526595e-02dB,-8.88569278856588e+01°)
1.21618600064636e+04	(-2.66796747485759e-02dB,-8.90644423661918e+01°)
1.21898959892486e+04	(-2.67632766060497e-02dB,-8.92724549947423e+01°)
1.22179966016487e+04	(-2.68466450443053e-02dB,-8.94809670909607e+01°)
1.22461619926504e+04	(-2.69297718955054e-02dB,-8.96899799793092e+01°)
1.22743923115840e+04	(-2.70126489045124e-02dB,-8.98994949890929e+01°)
1.23026877081238e+04	(-2.70952677287839e-02dB,-9.01095134544907e+01°)
1.23310483322890e+04	(-2.71776199380614e-02dB,-9.03200367145866e+01°)
1.23594743344450e+04	(-2.72596970142546e-02dB,-9.05310661134010e+01°)
1.23879658653036e+04	(-2.73414903512949e-02dB,-9.07426029999232e+01°)
1.24165230759241e+04	(-2.74229912549944e-02dB,-9.09546487281425e+01°)
1.24451461177138e+04	(-2.75041909428979e-02dB,-9.11672046570815e+01°)
1.24738351424294e+04	(-2.75850805441239e-02dB,-9.13802721508282e+01°)
1.25025903021771e+04	(-2.76656510993590e-02dB,-9.15938525785688e+01°)
1.25314117494141e+04	(-2.77458935607823e-02dB,-9.18079473146218e+01°)
1.25602996369487e+04	(-2.78257987919049e-02dB,-9.20225577384701e+01°)
1.25892541179416e+04	(-2.79053575675833e-02dB,-9.22376852347962e+01°)
1.26182753459066e+04	(-2.79845605740284e-02dB,-9.24533311935151e+01°)
1.26473634747114e+04	(-2.80633984087501e-02dB,-9.26694970098091e+01°)
1.26765186585784e+04	(-2.81418615806247e-02dB,-9.28861840841626e+01°)
1.27057410520853e+04	(-2.82199405098179e-02dB,-9.31033938223965e+01°)
1.27350308101665e+04	(-2.82976255279723e-02dB,-9.33211276357042e+01°)
1.27643880881134e+04	(-2.83749068781634e-02dB,-9.35393869406862e+01°)
1.27938130415752e+04	(-2.84517747150784e-02dB,-9.37581731593864e+01°)
1.28233058265601e+04	(-2.85282191050744e-02dB,-9.39774877193281e+01°)
1.28528665994361e+04	(-2.86042300263579e-02dB,-9.41973320535505e+01°)
1.28824955169313e+04	(-2.86797973691189e-02dB,-9.44177076006446e+01°)
1.29121927361353e+04	(-2.87549109356544e-02dB,-9.46386158047916e+01°)
1.29419584144998e+04	(-2.88295604407509e-02dB,-9.48600581157988e+01°)
1.29717927098395e+04	(-2.89037355116890e-02dB,-9.50820359891379e+01°)
1.30016957803328e+04	(-2.89774256886564e-02dB,-9.53045508859829e+01°)
1.30316677845229e+04	(-2.90506204249639e-02dB,-9.55276042732478e+01°)
1.30617088813183e+04	(-2.91233090873388e-02dB,-9.57511976236255e+01°)
1.30918192299940e+04	(-2.91954809562845e-02dB,-9.59753324156263e+01°)
1.31219989901919e+04	(-2.92671252264557e-02dB,-9.62000101336175e+01°)
1.31522483219223e+04	(-2.93382310069700e-02dB,-9.64252322678623e+01°)
1.31825673855640e+04	(-2.94087873218136e-02dB,-9.66510003145598e+01°)
1.32129563418657e+04	(-2.94787831104145e-02dB,-9.68773157758846e+01°)
1.32434153519466e+04	(-2.95482072279917e-02dB,-9.71041801600279e+01°)
1.32739445772973e+04	(-2.96170484460632e-02dB,-9.73315949812376e+01°)
1.33045441797808e+04	(-2.96852954529610e-02dB,-9.75595617598592e+01°)
1.33352143216331e+04	(-2.97529368544421e-02dB,-9.77880820223777e+01°)
1.33659551654643e+04	(-2.98199611742846e-02dB,-9.80171573014584e+01°)
1.33967668742593e+04	(-2.98863568547972e-02dB,-9.82467891359893e+01°)
1.34276496113785e+04	(-2.99521122575760e-02dB,-9.84769790711235e+01°)
1.34586035405594e+04	(-3.00172156641876e-02dB,-9.87077286583212e+01°)
1.34896288259164e+04	(-3.00816552767847e-02dB,-9.89390394553931e+01°)
1.35207256319427e+04	(-3.01454192189896e-02dB,-9.91709130265434e+01°)
1.35518941235103e+04	(-3.02084955366169e-02dB,-9.94033509424130e+01°)
1.35831344658714e+04	(-3.02708721984479e-02dB,-9.96363547801239e+01°)
1.36144468246594e+04	(-3.03325370971667e-02dB,-9.98699261233231e+01°)
1.36458313658891e+04	(-3.03934780502565e-02dB,-1.00104066562227e+02°)
1.36772882559584e+04	(-3.04536828008743e-02dB,-1.00338777693666e+02°)
1.37088176616484e+04	(-3.05131390188172e-02dB,-1.00574061121130e+02°)
1.37404197501250e+04	(-3.05718343016069e-02dB,-1.00809918454814e+02°)
1.37720946889394e+04	(-3.06297561754946e-02dB,-1.01046351311665e+02°)
1.38038426460287e+04	(-3.06868920964865e-02dB,-1.01283361315423e+02°)
1.38356637897177e+04	(-3.07432294515416e-02dB,-1.01520950096674e+02°)
1.38675582887188e+04	(-3.07987555598589e-02dB,-1.01759119292894e+02°)
1.38995263121334e+04	(-3.08534576737291e-02dB,-1.01997870548494e+02°)
1.39315680294529e+04	(-3.09073229802070e-02dB,-1.02237205514872e+02°)
1.39636836105593e+04	(-3.09603386021342e-02dB,-1.02477125850454e+02°)
1.39958732257261e+04	(-3.10124915995689e-02dB,-1.02717633220752e+02°)
1.40281370456195e+04	(-3.10637689711811e-02dB,-1.02958729298400e+02°)
1.40604752412990e+04	(-3.11141576556735e-02dB,-1.03200415763214e+02°)
1.40928879842186e+04	(-3.11636445332411e-02dB,-1.03442694302234e+02°)
1.41253754462274e+04	(-3.12122164271092e-02dB,-1.03685566609775e+02°)
1.41579377995707e+04	(-3.12598601051004e-02dB,-1.03929034387478e+02°)
1.41905752168908e+04	(-3.13065622812745e-02dB,-1.04173099344360e+02°)
1.42232878712281e+04	(-3.13523096175827e-02dB,-1.04417763196861e+02°)
1.42560759360218e+04	(-3.13970887255584e-02dB,-1.04663027668899e+02°)
1.42889395851109e+04	(-3.14408861681306e-02dB,-1.04908894491918e+02°)
1.43218789927353e+04	(-3.14836884614305e-02dB,-1.05155365404940e+02°)
1.43548943335364e+04	(-3.15254820766451e-02dB,-1.05402442154618e+02°)
1.43879857825583e+04	(-3.15662534419563e-02dB,-1.05650126495284e+02°)
1.44211535152486e+04	(-3.16059889445834e-02dB,-1.05898420189007e+02°)
1.44543977074592e+04	(-3.16446749326278e-02dB,-1.06147325005640e+02°)
1.44877185354475e+04	(-3.16822977174003e-02dB,-1.06396842722876e+02°)
1.45211161758773e+04	(-3.17188435753922e-02dB,-1.06646975126300e+02°)
1.45545908058195e+04	(-3.17542987505370e-02dB,-1.06897724009442e+02°)
1.45881426027534e+04	(-3.17886494564459e-02dB,-1.07149091173834e+02°)
1.46217717445671e+04	(-3.18218818788182e-02dB,-1.07401078429057e+02°)
1.46554784095590e+04	(-3.18539821776509e-02dB,-1.07653687592805e+02°)
1.46892627764385e+04	(-3.18849364897723e-02dB,-1.07906920490930e+02°)
1.47231250243271e+04	(-3.19147309313424e-02dB,-1.08160778957504e+02°)
1.47570653327588e+04	(-3.19433516003276e-02dB,-1.08415264834871e+02°)
1.47910838816819e+04	(-3.19707845792514e-02dB,-1.08670379973703e+02°)
1.48251808514594e+04	(-3.19970159377562e-02dB,-1.08926126233057e+02°)
1.48593564228699e+04	(-3.20220317353698e-02dB,-1.09182505480428e+02°)
1.48936107771090e+04	(-3.20458180243059e-02dB,-1.09439519591810e+02°)
1.49279440957898e+04	(-3.20683608524320e-02dB,-1.09697170451750e+02°)
1.49623565609442e+04	(-3.20896462659847e-02dB,-1.09955459953404e+02°)
1.49968483550236e+04	(-3.21096603128499e-02dB,-1.10214389998596e+02°)
1.50314196609001e+04	(-3.21283890453526e-02dB,-1.10473962497876e+02°)
1.50660706618673e+04	(-3.21458185237067e-02dB,-1.10734179370576e+02°)
1.51008015416413e+04	(-3.21619348188449e-02dB,-1.10995042544869e+02°)
1.51356124843619e+04	(-3.21767240160205e-02dB,-1.11256553957829e+02°)
1.51705036745932e+04	(-3.21901722179847e-02dB,-1.11518715555485e+02°)
1.52054752973248e+04	(-3.22022655484096e-02dB,-1.11781529292886e+02°)
1.52405275379728e+04	(-3.22129901554298e-02dB,-1.12044997134155e+02°)
1.52756605823806e+04	(-3.22223322151328e-02dB,-1.12309121052551e+02°)
1.53108746168202e+04	(-3.22302779352802e-02dB,-1.12573903030529e+02°)
